Chinese ,GPT,Google,ILLAMA
天有不测风云，人有旦夕祸福,"The sky may have unpredictable storms, and people may have sudden misfortunes or blessings","There are unexpected changes in the weather, and people are subject to misfortunes and blessings at any time.","The heavens have unknown windstorms, men have daily calamity and good fortune."
千里之行，始于足下,A journey of a thousand miles begins with a single step,A journey of a thousand miles begins with a single step,A journey of a thousand miles begins with a single step.
路遥知马力，日久见人心,"The distance tests a horse's strength, and time reveals a person's heart",A journey of a thousand miles tests a horse's strength; time reveals a person's heart.,"At a distance, you can tell the strength of the horse; after many days, you can see the character of man."
宁为玉碎，不为瓦全,Better to be shattered like jade than to be whole like tile,Better to die in glory than live in disgrace,"It is better to have a single grain of jade that will eventually break, rather than lose everything that is worth preserving."
冰冻三尺，非一日之寒,Three feet of ice is not formed in a day,"The ice is three feet thick, it is not formed in one day",A three-foot thick layer of ice does not form overnight.
未雨绸缪,Take precautions before it rains,Prepare for a rainy day,Before rain comes the thread of fate.
滴水穿石，非一日之功,"Dripping water can penetrate stone, but not in a day",It takes time for a drop of water to wear away a stone.,"A single drop of water can penetrate a stone, it is not done in a day."
精诚所至，金石为开,"With utmost sincerity, even metal and stone can be split",Sincerity can move mountains and open up new horizons,"With sincerity and purity, even gold can be revealed."
水能载舟，亦能覆舟,"Water can carry a boat, but it can also overturn it","Water can carry a boat, but it can also capsize it.","Water can carry a boat, but also drown it."
不入虎穴，焉得虎子,"If you do not enter the tiger's den, how will you get the tiger cub","No venture, no gain.",You cannot get the tiger cub unless you dare to enter its den.
花无百日红,Flowers do not remain red for a hundred days,Flowers never last forever,The flower blooms for a brief moment.
磨刀不误砍柴工,Sharpening the axe does not delay the chopping of firewood,Sharpening the knife does not delay the chopping of wood,Sharpening the saw does not miss cutting down the wooden worker.
青出于蓝而胜于蓝,"Indigo comes from the blue, but it is bluer than the blue",The disciple is better than the master,"A blue face is born of another blue, but it stands out more than another blue."
千军易得，一将难求,"Thousands of troops are easy to get, but a good general is hard to find","It is easy to get thousands of soldiers, but it is hard to get a general.","An army can be easily won by a thousand men, but a single skilled general is hard to find."
亡羊补牢，未为晚也,To mend the sheepfold after a sheep is lost is not too late,It is never too late to mend,It's never too late to mend the fence after losing the sheep.
近朱者赤，近墨者黑,One who stays near vermilion gets stained red; one who stays near ink gets stained black,"He who keeps company with vermilion becomes red, and he who keeps company with ink becomes black.","Those who are near something that is red will become red, and those who are near something that is black will become black."
失之东隅，收之桑榆,Loss in the east may be gained in the west,"Lose in one place, gain in another",What is lost beyond the eastern edge can be regained from the wild mulberry tree.
良药苦口利于病,Good medicine tastes bitter but benefits the illness,Good medicine tastes bitter but is good for the disease,Bitter medicine is good for the illness.
江山易改，本性难移,"Rivers and mountains can change, but one's nature is hard to alter","It is easy to change the country, but difficult to change one's nature","The territory and the castle can be easily changed, but one's nature is hard to change."
前人栽树，后人乘凉,"The previous generation plants trees, the later generation enjoys the shade",Those who plant trees will enjoy the shade,Those who plant a tree will reap its shade later.
老骥伏枥，志在千里,An old steed lying in its stall still aspires to gallop a thousand miles,An old horse still has ambitions to run a thousand miles,"An old horse hitches itself to a new cart, with the intention of going far."
光阴似箭，日月如梭,Time flies like an arrow; the days and months pass like a shuttle,"Time flies, days and months pass by quickly","Time is fleeting like an arrow, and years go by like a spindle."
千军万马过独木桥,A thousand troops cross a single-log bridge,Thousands of troops crossing a single-plank bridge,A thousand soldiers and a thousand horses cross the solitary bridge.
前门拒虎，后门进狼,"Drive away the tiger at the front door, but let the wolf in at the back","Keep tigers out the front door, let wolves in through the back door","The front gate can repel a tiger, but the back gate lets in a wolf."
一叶障目，不见泰山,A leaf in front of your eyes prevents you from seeing Mount Tai,A leaf blocks the view of the mountain,A single leaf obstructs my view of the majestic mountain.
天网恢恢，疏而不漏,"The heavenly net is wide and loose, but it misses nothing","The law is long and wide, nothing can escape it","The heavenly net is boundless and unbroken, even if it is sparse."
不鸣则已，一鸣惊人,"Remain silent until the right moment, then amaze everyone with a single cry","If you don't make a sound, you'll be amazing.","If a bird doesn't sing, then nothing will happen; but if it sings, it will shock people."
千里之堤，毁于蚁穴,A dike a thousand miles long can be destroyed by an ant's nest,A thousand-mile embankment is destroyed by an ant hole,A long wall can be breached by an anthill's tiny hole.
鹬蚌相争，渔翁得利,"When the snipe and clam fight, the fisherman benefits","When the snipe and the clam fight, the fisherman wins","The heron and the crab squabble among themselves, while the fisherman benefits from it."
玉不琢，不成器,Jade must be carved to become a useful object,"If jade is not polished, it will not become a useful object.",A gemstone that is not polished will not become a fine work of art.
